kana	english	common	part
ほんの	just, nothing but, only	ほんの	adn.
カメラ	camera	カメラ	n.
てら	temple	寺	n.
ビデオ	video	ビデオ	n.
てきせつ	suitable, proper	適切	na-adj.
みごと	excellent	見事	na-adj.
そこ	bottom; sole	底	n.
しげき(する)	,	刺激(する)	n.
いきおい	speed; force; vigor	勢い	n.
ふく	blow; breathe out; play (musical instrument)	吹く	v.
きょう	today, these days	今日	adv.
まよう	get lost; cannot decide	迷う	v.
せ	stature; back	背	n.
なま	raw; fresh; live	生	n.
うったえる	sue; complain; appeal	訴える	v.
せいしん	mind, spirit	精神	n.
はあく(する)	grasp	把握(する)	n.
たいする	toward, against; compare, receive	対する	v.
じゅうに	twelve	十二	n.
じゃ	COPULA is, are  なんじゃ、こりゃ。 — What the hell is this?	じゃ	aux.
じしん	earthquake	地震	n.
おうえん(する)	support	応援(する)	n.
じんるい	human race, mankind	人類	n.
じょうしょう(する)	rise	上昇(する)	n.
くうかん	space	空間	n.
ふくざつ	complicated, complex	複雑	na-adj.
とくてい(する)	specific	特定(する)	n.
たかめる	raise	高める	v.
いがい	except	以外	n.
かんてん	viewpoint, standpoint	観点	n.
つとめる	make efforts	努める	v.
にじかん	two hours	二時間	n.
きつい	tight; hard, severe; strong	きつい	i-adj.
そぼ	grandmother	祖母	n.
ぷらす(する)	plus, benefit	プラス(する)	n.
たいてい	usually	大抵	adv.
ねらう	aim at	狙う	v.
しりあい	acquaintance	知り合い	n.
せまる	approach, draw near;  demand	迫る	v.
どうぞ	please	どうぞ	adv.
けす	put out, turn off; erase	消す	v.
ゆいいつ	,	唯一	n.
れんちゅう	company, crowd; those guys	連中	n.
あおい	blue; pale; unripe	青い	i-adj.
しゅうりょう(する)	end	終了(する)	n.
をもって	by; with; as of	をもって	cp.
ぜんてい	assumption, premise	前提	n.
よっつ	four	四つ	n.
みらい	future	未来	n.
ぼくら	we	僕ら	pron.
たちあがる	stand up, rise	立ち上がる	v.
どう	same	同	n.
すいい(する)	transition, change	推移(する)	n.
なくす	lose	なくす	v.
ゆうこう		有効	
つぎつぎ	one after another	次々	adv.
うえで	after; in the context of	上で	cp.
こくない	domestic, home	国内	n.
が	but	が	conj.
つごう(する)	convenience, circumstances ;  arrange	都合(する)	n.; v.
あるじな	main, chief	主な	adn.
ふと	casually; suddenly	ふと	adv.
よんとし	four years	四年	n.
むし(する)	,	無視(する)	n.
いっき	,	一気	adv.
てつづき	procedure, formalities	手続き	n.
なみ	wave	波	n.
なか	relations, terms	仲	n.
ちゅうがくせい	junior high school student	中学生	n.
イタリア	Italy	イタリア	n.
のぞく	look through, look down; drop in	のぞく	v.
たんじょう(する)	birth	誕生(する)	n.
きたない	dirty; unfair; vulgar	汚い	i-adj.
はたけ	field (for fruit, vegetables); garden	畑	n.
はく	put on, wear	履く	v.
ひざ	knee, lap	膝	n.
ていあん(する)	proposal	提案(する)	n.
ぎょうむ	business, work	業務	n.
さいわい		幸い	
かわいそう	pitiful, miserable	かわいそう	na-adj.
がぞう	picture, image	画像	n.
まご	grandchild	孫	n.
つなぐ	connect, tie	つなぐ	v.
つつむ	wrap	包む	v.
おもいきる	give up; venture	思い切る	v.
じたい	situation	事態	n.
よなか	middle of the night	夜中	n.
あらためる	change; reform	改める	v.
しゅうちゅう(する)	concentration	集中(する)	n.
りょうて	both hands, both arms 両手でしっかり持って。 — Hold it firmly with both hands.	両手	n.
しじ(する)	instruction, direction	指示(する)	n.
けっこんしき	wedding ceremony	結婚式	n.
むし	insect, bug; worm	虫	n.
バイク	motorcycle, motorbike	バイク	n.
かくりつ(する)	establishment	確立(する)	n.
とうちゃく(する)	arrival	到着(する)	n.
かく	scratch; paddle; shovel	かく	v.
やせる	become thin, lose weight	痩せる	v.
おやじ	father; old man; boss	親父	n.
なくてはいけない	have to, must	なくてはいけない	cp.
ためす	try, attempt	試す	v.
おえる	finish, end	終える	v.
はるか		遥か	
じゅけん(する)	examination	受験(する)	n.
いし	doctor	医師	n.
バンド	band; belt	バンド	n.
たいりょく	physical strength	体力	n.
こっか	state, country, nation	国家	n.
ソフト	software	ソフト	n.
ちょうなん	eldest son	長男	n.
0	zero	0	n.
さっき	,	さっき	adv.
ごく	very	ごく	adv.
にゅうりょく(する)	input	入力(する)	n.
CM	commercial	CM	n.
じゅういち	eleven	十一	n.
チャンス	chance	チャンス	n.
わかれる	part; divorce, break up	別れる	v.
ひるま	daytime	昼間	n.
せいさん(する)	production	生産(する)	n.
よう	in short	要	n.
おさめる	obtain, gain; put; keep	収める	v.
そうじ(する)	cleaning	掃除(する)	n.
きょうか(する)	,	強化(する)	n.
しゅふ	housewife	主婦	n.
じょ々	gradually	徐々	n.
メーカー	maker, manufacturer	メーカー	n.
ありえる	be possible, be likely, be probable	あり得る	v.
しるす	write down; mark	記す	v.
うわさ(する)	gossip, rumor	うわさ(する)	n.
ほけん	insurance	保険	n.
きせい(する)	regulation	規制(する)	n.
もの	because	もの	p.
かんそう	feeling, impression	感想	n.
さゆう(する)	right and left	左右(する)	n.
そくしん(する)	promotion	促進(する)	n.
けしき	scenery, view, scene	景色	n.
あじわう	taste, savor	味わう	v.
アジア	Asia	アジア	n.
こうりゅう(する)	interchange, exchange	交流(する)	n.
ほうどう(する)	report	報道(する)	n.
とうしょ	beginning, original	当初	n.
インド	India	インド	n.
かんさつ(する)	observation	観察(する)	n.
でんき	electricity; electric light	電気	n.
くせ	habit, peculiarity	癖	n.
たいした	not big, not much; great, quite	たいした	adn.
ありかた	way something ought to be, state of things	あり方	n.
どころ	far from, on the contrary, can’t even	どころ	p.
このみ	liking, taste	好み	n.
はまる	fit; fall; be addicted to	はまる	v.
さっそく	at once, lose no time in doing	早速	adv.
しはらう	pay	支払う	v.
しみん	resident (of a city), citizen	市民	n.
メリット	merit, advantage	メリット	n.
きんねん	in recent years	近年	adv.
わかりやすい	easy to understand.	分かりやすい	i-adj.
せいひん	product	製品	n.
はたして	really; just as one thought	果たして	adv.
とくい	be good at, be proud	得意	na-adj.
にしゅうかん	two weeks	二週間	n.
といあわせ	inquiry	問い合わせ	n.
あっ	Ah!, Oh!, Hey!	あっ	interj.
なんだか	somewhat; somehow	何だか	adv.
かてい	process	過程	n.
しくみ	structure, mechanism	仕組み	n.
あわてる	be flustered, be in a hurry  慌ててやると間違えてしまいますよ。 — You make mistakes if you do things in a hurry.	慌てる	v.
ざるをとくない	have to, cannot help doing	ざるを得ない	cp.
そち(する)	measure	措置(する)	n.
あぶら	oil	油	n.
はんとし	half a year	半年	n.
しせん		視線	
こうぞう	structure	構造	n.
きんにく	muscle	筋肉	n.
しょうしょう	a little, a minute	少々	adv.
たいさく	measure	対策	n.
こい	thick; strong; heavy; deep	濃い	i-adj.
いじょう	abnormal	異常	na-adj.
としょかん	library	図書館	n.
くつ	shoe	靴	n.
おそれ	fear, danger	おそれ	n.
にかい	second floor	二階	n.
あえて	dare	あえて	adv.
さんかい	three times	三回	n.
ひっこし(する)	moving, removal	引っ越し(する)	n.
しつれい(する)	rudeness, impoliteness	失礼(する)	n.
ふとる	get fat, gain weight	太る	v.
まち,まち	town, city	街, 町	n.
いったん	once; for a moment	いったん	adv.
とりいれる	take in; adopt; harvest	取り入れる	v.
もてる	be popular	モテる	v.
とかい	city	都会	n.
たいりょう	,	大量	n.
はつげん(する)	remark	発言(する)	n.
いためる	fry, stir-fry	炒める	v.
なげる	throw; give up	投げる	v.
げんかん		玄関	
いっしゅ	kind, sort, species	一種	n.
せだい	generation	世代	n.
にあたって	at the time of	にあたって	cp.
もうしこみ	application	申し込み	n.
たかまる	rise, heighten, grow	高まる	v.
しょうめい(する)	proof	証明(する)	n.
わく	boil; be in uproar  お湯が沸いた。 — The water is boiling.	沸く	v.
ひっし	desperate	必死	na-adj.
しんけん	serious	真剣	na-adj.
まさか	surely not, cannot possibly	まさか	adv.
ごめんなさい	I’m sorry,	ごめんなさい	interj.
がめん	screen	画面	n.
べい	rice	米	n.
せいか	result, product	成果	n.
ものがたり	tale, story	物語	n.
にちじ	date and time	日時	n.
らいねん	next year	来年	n.
まく	roll up, wind up; wear around  彼は首に白いタオルを巻いている。 — He wore a white towel around his neck.	巻く	v.
こっち	here; this; I; we	こっち	pron.
かならずしも	not necessarily, not always	必ずしも	adv.
たっぷり	full, plenty	たっぷり	adv.
はやる	be fashionable, be popular, go around	はやる	v.
おそろしい	terrible, frightful, amazing, awful	恐ろしい	i-adj.
なかみ		中身	
スピード	speed	スピード	n.
いちふ	step	一歩	n.
ぎゅうにゅう	(cow’s) milk	牛乳	n.
ひてい(する)	denial, negative	否定(する)	n.
ふまえる	be based on	踏まえる	v.
じゃっかん	slightly	若干	adv.
はこ	box, case  私はその箱を開けた。 — I opened the box.	箱	n.
テニス	tennis	テニス	n.
アパート	apartment	アパート	n.
めんせつ(する)	interview	面接(する)	n.
じゅうみん	inhabitant, resident	住民	n.
てまいる	begin to, come to; have been; go and come (humble)	て参る	cp.
ギター	guitar	ギター	n.
ようそ	element, factor	要素	n.
およぐ	swim	泳ぐ	v.
たいせい	a large	大勢	n.
しゅうかん	custom, habit	習慣	n.
こめる	put into, pour into	込める	v.
かぜ	cold	風邪	n.
ちょうせい(する)	adjustment	調整(する)	n.
おどる	dance	踊る	v.
とも	all, both	とも	p.
タクシー	taxi	タクシー	n.
きょうかい	church	教会	n.
こうげき(する)	attack	攻撃(する)	n.
ごとき	five o’clock	五時	n.
(お)べんとう	boxed lunch	(お)弁当	n.
ほういたる	people (honorific)	方達	n.
ひさしぶり	after a long time	久しぶり	n.
とたん	as soon as	とたん	n.
ようする	need, take	要する	v.
はば	width, breadth; difference; latitude	幅	n.
しゅうへん	outskirts, around	周辺	n.
じゅうひ	tenth (date); ten days	十日	n.
しゅとく(する)	acquisition	取得(する)	n.
ちょうせん(する)	challenge	挑戦(する)	n.
どくりつ(する)	independence	独立(する)	n.
しゅうにゅう	income	収入	n.
ぜ	EMPHASIS  やったぜ！ — I made it!	ぜ	p.
しじょう	market	市場	n.
きもの	kimono	着物	n.
メニュー	menu	メニュー	n.
なつやすみ	summer holiday	夏休み	n.
こわす	break; impair; upset	壊す	v.
なさる	do (honorific)	なさる	v.
かり	temporary, provisional; assumed	仮	n.
かえって	on the contrary, rather	かえって	adv.
かんする	be related to, be concerned with	関する	v.
ゆにゅう(する)	,	輸入(する)	n.
みたす	fill, satisfy, meet	満たす	v.
いわば	so to speak, as it were	いわば	adv.
スタッフ	staff	スタッフ	n.
じゅうしょ	address	住所	n.
へいき	insensitive, fine	平気	na-adj.
コース	course, route, lane	コース	n.
たずねる	visit, go to see	訪ねる	v.
かぎ	key	鍵	n.
せかいじゅう	around the world, throughout the world	世界中	n.
へた	not good at, poor, bad, unskilled	下手	na-adj.
し	poem, poetry	詩	n.
けいか(する)	progress, development	経過(する)	n.
ととのえる	arrange, prepare	整える	v.
ツアー	tour	ツアー	n.
にし	west	西	n.
じこう	matter, fact, item	事項	n.
じゅく	cram school	塾	n.
さる	,	去る	v.
ごひと	five people	五人	n.
いりくち	entrance	入り口	n.
あらためて	over again; some other time	改めて	adv.
けん	prefecture	県	n.
ことわる	decline, refuse, reject, turn down; ask permission; give notice	断る	v.
じむしょ	office	事務所	n.
おおさじ	tablespoon	大さじ	n.
せいり(する)	arrangement	整理(する)	n.
たえる	stand, endure, bear	耐える	v.
しょくいん	staff member	職員	n.
こめんと(する)	comment	コメント(する)	n.
ごぶん	five minutes	五分	n.
はっき(する)	exhibition, show	発揮(する)	n.
とじる	close, shut	閉じる	v.
しばい	play, drama	芝居	n.
ぶんせき(する)	analysis	分析(する)	n.
かいしゃく(する)	interpretation	解釈(する)	n.
うばう	rob, take by force; fascinate	奪う	v.
さんかげつ	three months	三ヶ月	n.
ちゅうもん(する)	order	注文(する)	n.
きず	injury; scratch; bruise; flaw; stain	傷	n.
がいこくひと	foreigner	外国人	n.
はちとき	eight o’clock	八時	n.
れいぞうこ	refrigerator	冷蔵庫	n.
まかせる	entrust, leave  それは私に任せて。 — Leave it to me.	任せる	v.
